FeatureCode,DateCode,Measurement,Units,Value,Sex,Age,Cause Of Death,Location Of Death,official_name
S92000003,w/c 2020-05-18,Count,Deaths,17,Female,15-44 years,All causes,All,Scotland
S92000003,w/c 2020-02-03,Count,Deaths,16,Male,15-44 years,All causes,All,Scotland
S92000003,w/c 2020-02-10,Count,Deaths,39,All,15-44 years,All causes,All,Scotland
S92000003,w/c 2020-05-25,Count,Deaths,0,All,1-14 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-04-27,Count,Deaths,0,Male,1-14 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-05-18,Count,Deaths,0,Male,1-14 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-04-13,Count,Deaths,0,Female,1-14 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-03-16,Count,Deaths,0,All,1-14 years,All causes,All,Scotland
S92000003,w/c 2020-04-13,Count,Deaths,0,All,1-14 years,All causes,All,Scotland
S92000003,w/c 2020-04-13,Count,Deaths,0,All,1-14 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-05-04,Count,Deaths,0,Female,1-14 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-04-20,Count,Deaths,0,All,All,COVID-19 related,Other institution,Scotland
S92000003,w/c 2020-04-20,Count,Deaths,0,All,1-14 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-03-30,Count,Deaths,1,All,All,COVID-19 related,Other institution,Scotland
S92000003,w/c 2020-03-09,Count,Deaths,2,Male,1-14 years,All causes,All,Scotland
S92000003,w/c 2020-05-18,Count,Deaths,2,All,All,COVID-19 related,Other institution,Scotland
S92000003,w/c 2020-04-27,Count,Deaths,0,All,All,COVID-19 related,Other institution,Scotland
S92000003,w/c 2020-03-30,Count,Deaths,1,Male,1-14 years,All causes,All,Scotland
S92000003,w/c 2020-02-17,Count,Deaths,2,All,1-14 years,All causes,All,Scotland
S92000003,w/c 2020-03-02,Count,Deaths,0,Male,1-14 years,All causes,All,Scotland
S92000003,w/c 2020-03-16,Count,Deaths,10,All,All,COVID-19 related,All,Scotland
S92000003,w/c 2020-03-30,Count,Deaths,0,All,1-14 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-05-04,Count,Deaths,0,Male,1-14 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-05-25,Count,Deaths,0,All,All,COVID-19 related,Other institution,Scotland
S92000003,w/c 2020-03-23,Count,Deaths,0,All,1-14 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-03-09,Count,Deaths,2,All,1-14 years,All causes,All,Scotland
S92000003,w/c 2020-05-04,Count,Deaths,1,All,All,COVID-19 related,Other institution,Scotland
S92000003,w/c 2020-05-25,Count,Deaths,1,Female,1-14 years,All causes,All,Scotland
S92000003,w/c 2020-06-01,Count,Deaths,0,Male,1-14 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-02-17,Count,Deaths,1,Female,1-14 years,All causes,All,Scotland
S92000003,w/c 2020-06-01,Count,Deaths,0,Female,1-14 years,All causes,All,Scotland
S92000003,w/c 2020-03-30,Count,Deaths,1,Female,1-14 years,All causes,All,Scotland
S92000003,w/c 2020-05-11,Count,Deaths,0,Male,1-14 years,All causes,All,Scotland
S92000003,w/c 2020-04-20,Count,Deaths,0,Female,1-14 years,All causes,All,Scotland
S92000003,w/c 2020-02-24,Count,Deaths,1,Male,1-14 years,All causes,All,Scotland
S92000003,w/c 2020-05-04,Count,Deaths,2,Male,1-14 years,All causes,All,Scotland
S92000003,w/c 2020-06-08,Count,Deaths,0,Female,1-14 years,All causes,All,Scotland
S92000003,w/c 2020-01-06,Count,Deaths,3,All,1-14 years,All causes,All,Scotland
S92000003,w/c 2019-12-30,Count,Deaths,0,Male,1-14 years,All causes,All,Scotland
S92000003,w/c 2020-04-06,Count,Deaths,0,All,1-14 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-03-23,Count,Deaths,1,Male,1-14 years,All causes,All,Scotland
S92000003,w/c 2020-02-10,Count,Deaths,1,Male,1-14 years,All causes,All,Scotland
S92000003,w/c 2020-05-25,Count,Deaths,0,Female,1-14 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-06-08,Count,Deaths,0,All,1-14 years,COVID-19 related,All,Scotland
S92000003,2020,Count,Deaths,24,Male,1-14 years,All causes,All,Scotland
S92000003,w/c 2020-01-13,Count,Deaths,0,All,1-14 years,All causes,All,Scotland
S92000003,w/c 2020-04-27,Count,Deaths,1,Female,1-14 years,All causes,All,Scotland
S92000003,w/c 2020-03-02,Count,Deaths,0,Female,1-14 years,All causes,All,Scotland
S92000003,w/c 2020-01-13,Count,Deaths,9,Female,15-44 years,All causes,All,Scotland
S92000003,w/c 2020-03-23,Count,Deaths,16,Male,15-44 years,All causes,All,Scotland
S92000003,w/c 2020-02-24,Count,Deaths,31,Male,15-44 years,All causes,All,Scotland
S92000003,w/c 2020-06-01,Count,Deaths,0,Female,15-44 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-04-06,Count,Deaths,2,Female,15-44 years,COVID-19 related,All,Scotland
S92000003,2020,Count,Deaths,372,Female,15-44 years,All causes,All,Scotland
S92000003,w/c 2020-06-08,Count,Deaths,0,Male,15-44 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-04-20,Count,Deaths,35,Male,15-44 years,All causes,All,Scotland
S92000003,w/c 2020-04-06,Count,Deaths,2,All,1-14 years,All causes,All,Scotland
S92000003,w/c 2020-04-27,Count,Deaths,35,Male,15-44 years,All causes,All,Scotland
S92000003,w/c 2020-04-13,Count,Deaths,1,Female,15-44 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-04-06,Count,Deaths,22,Female,15-44 years,All causes,All,Scotland
S92000003,w/c 2020-05-18,Count,Deaths,0,Male,15-44 years,COVID-19 related,All,Scotland
S92000003,w/c 2019-12-30,Count,Deaths,24,All,15-44 years,All causes,All,Scotland
S92000003,w/c 2020-05-18,Count,Deaths,0,Female,1-14 years,All causes,All,Scotland
S92000003,w/c 2020-01-06,Count,Deaths,17,Female,15-44 years,All causes,All,Scotland
S92000003,w/c 2020-03-16,Count,Deaths,30,Male,15-44 years,All causes,All,Scotland
S92000003,w/c 2020-05-11,Count,Deaths,2,Female,1-14 years,All causes,All,Scotland
S92000003,2020,Count,Deaths,715,Male,15-44 years,All causes,All,Scotland
S92000003,w/c 2020-04-20,Count,Deaths,7,All,15-44 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-03-16,Count,Deaths,41,All,15-44 years,All causes,All,Scotland
S92000003,w/c 2020-04-13,Count,Deaths,32,Male,15-44 years,All causes,All,Scotland
S92000003,w/c 2020-01-27,Count,Deaths,19,Male,15-44 years,All causes,All,Scotland
S92000003,w/c 2020-06-08,Count,Deaths,1,All,15-44 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-03-30,Count,Deaths,2,Male,15-44 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-05-11,Count,Deaths,0,Female,15-44 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-06-01,Count,Deaths,2,Male,15-44 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-03-23,Count,Deaths,0,Male,15-44 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-03-09,Count,Deaths,25,Female,15-44 years,All causes,All,Scotland
S92000003,w/c 2020-05-11,Count,Deaths,16,Female,15-44 years,All causes,All,Scotland
S92000003,w/c 2020-04-06,Count,Deaths,33,Male,15-44 years,All causes,All,Scotland
S92000003,w/c 2020-05-11,Count,Deaths,2,Male,15-44 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-02-10,Count,Deaths,31,Male,15-44 years,All causes,All,Scotland
S92000003,w/c 2020-05-18,Count,Deaths,0,Female,15-44 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-05-25,Count,Deaths,0,Male,15-44 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-01-13,Count,Deaths,27,Male,15-44 years,All causes,All,Scotland
S92000003,w/c 2020-06-08,Count,Deaths,0,Female,1-14 years,COVID-19 related,All,Scotland
S92000003,w/c 2019-12-30,Count,Deaths,13,Male,15-44 years,All causes,All,Scotland
S92000003,w/c 2020-03-30,Count,Deaths,2,Female,15-44 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-02-03,Count,Deaths,15,Female,15-44 years,All causes,All,Scotland
S92000003,w/c 2020-03-23,Count,Deaths,10,Female,15-44 years,All causes,All,Scotland
S92000003,w/c 2020-05-04,Count,Deaths,22,Male,15-44 years,All causes,All,Scotland
S92000003,w/c 2020-04-13,Count,Deaths,2,All,15-44 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-04-13,Count,Deaths,650,All,All,COVID-19 related,All,Scotland
S92000003,w/c 2020-05-18,Count,Deaths,0,All,15-44 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-03-02,Count,Deaths,21,Female,15-44 years,All causes,All,Scotland
S92000003,w/c 2020-05-25,Count,Deaths,28,Male,15-44 years,All causes,All,Scotland
S92000003,w/c 2020-02-17,Count,Deaths,28,Male,15-44 years,All causes,All,Scotland
S92000003,2020,Count,Deaths,14,Male,15-44 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-03-09,Count,Deaths,51,All,15-44 years,All causes,All,Scotland
S92000003,w/c 2020-05-25,Count,Deaths,1,All,15-44 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-04-20,Count,Deaths,54,All,15-44 years,All causes,All,Scotland
S92000003,w/c 2020-03-23,Count,Deaths,62,All,All,COVID-19 related,All,Scotland
S92000003,w/c 2020-06-08,Count,Deaths,36,Male,15-44 years,All causes,All,Scotland
S92000003,w/c 2020-03-30,Count,Deaths,43,Male,15-44 years,All causes,All,Scotland
S92000003,w/c 2020-03-16,Count,Deaths,11,Female,15-44 years,All causes,All,Scotland
S92000003,w/c 2020-05-04,Count,Deaths,1,Male,15-44 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-03-09,Count,Deaths,26,Male,15-44 years,All causes,All,Scotland
S92000003,w/c 2020-01-06,Count,Deaths,42,Male,15-44 years,All causes,All,Scotland
S92000003,2020,Count,Deaths,39,All,1-14 years,All causes,All,Scotland
S92000003,w/c 2020-03-02,Count,Deaths,48,All,15-44 years,All causes,All,Scotland
S92000003,w/c 2020-04-20,Count,Deaths,4,Male,15-44 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-05-25,Count,Deaths,46,All,15-44 years,All causes,All,Scotland
S92000003,w/c 2020-04-13,Count,Deaths,1,Male,15-44 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-05-25,Count,Deaths,55,All,All,COVID-19 related,Hospital,Scotland
S92000003,w/c 2019-12-30,Count,Deaths,11,Female,15-44 years,All causes,All,Scotland
S92000003,w/c 2020-04-27,Count,Deaths,0,Male,15-44 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-05-11,Count,Deaths,41,Male,15-44 years,All causes,All,Scotland
S92000003,w/c 2020-02-17,Count,Deaths,45,All,15-44 years,All causes,All,Scotland
S92000003,w/c 2020-04-06,Count,Deaths,2,Male,15-44 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-05-18,Count,Deaths,29,Male,15-44 years,All causes,All,Scotland
S92000003,w/c 2020-03-23,Count,Deaths,0,Female,15-44 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-06-08,Count,Deaths,35,All,All,COVID-19 related,Care Home,Scotland
S92000003,w/c 2020-05-11,Count,Deaths,128,All,All,COVID-19 related,Hospital,Scotland
S92000003,w/c 2020-04-13,Count,Deaths,303,All,All,COVID-19 related,Care Home,Scotland
S92000003,w/c 2020-04-27,Count,Deaths,315,All,All,COVID-19 related,Care Home,Scotland
S92000003,w/c 2020-05-18,Count,Deaths,95,All,All,COVID-19 related,Hospital,Scotland
S92000003,w/c 2020-04-20,Count,Deaths,340,All,All,COVID-19 related,Care Home,Scotland
S92000003,w/c 2020-05-18,Count,Deaths,293,Female,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-03-16,Count,Deaths,0,All,All,COVID-19 related,Care Home,Scotland
S92000003,w/c 2020-03-30,Count,Deaths,2,All,1-14 years,All causes,All,Scotland
S92000003,w/c 2020-02-24,Count,Deaths,253,Female,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-05-11,Count,Deaths,187,All,All,COVID-19 related,Care Home,Scotland
S92000003,w/c 2020-05-04,Count,Deaths,238,All,All,COVID-19 related,Care Home,Scotland
S92000003,w/c 2020-05-11,Count,Deaths,518,All,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-05-04,Count,Deaths,305,Female,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-03-23,Count,Deaths,43,All,All,COVID-19 related,Hospital,Scotland
S92000003,w/c 2020-06-01,Count,Deaths,42,All,All,COVID-19 related,Care Home,Scotland
S92000003,w/c 2020-03-30,Count,Deaths,49,All,All,COVID-19 related,Care Home,Scotland
S92000003,w/c 2020-05-18,Count,Deaths,51,Male,85 years and over,COVID-19 related,All,Scotland
S92000003,w/c 2020-05-11,Count,Deaths,169,All,85 years and over,COVID-19 related,All,Scotland
S92000003,w/c 2020-05-04,Count,Deaths,118,Female,85 years and over,COVID-19 related,All,Scotland
S92000003,w/c 2020-03-16,Count,Deaths,8,All,All,COVID-19 related,Hospital,Scotland
S92000003,w/c 2020-04-13,Count,Deaths,299,All,85 years and over,COVID-19 related,All,Scotland
S92000003,w/c 2020-03-23,Count,Deaths,5,All,All,COVID-19 related,Care Home,Scotland
S92000003,w/c 2020-05-18,Count,Deaths,9,All,All,COVID-19 related,Home / Non-institution,Scotland
S92000003,w/c 2020-05-25,Count,Deaths,2,All,1-14 years,All causes,All,Scotland
S92000003,w/c 2019-12-30,Count,Deaths,266,Female,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-04-20,Count,Deaths,662,All,85 years and over,All causes,All,Scotland
S92000003,2020,Count,Deaths,11310,All,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-03-30,Count,Deaths,31,Male,85 years and over,COVID-19 related,All,Scotland
S92000003,w/c 2020-02-24,Count,Deaths,154,Male,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-01-13,Count,Deaths,466,All,85 years and over,All causes,All,Scotland
S92000003,2020,Count,Deaths,685,Male,85 years and over,COVID-19 related,All,Scotland
S92000003,w/c 2020-03-30,Count,Deaths,240,Male,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-04-13,Count,Deaths,131,Male,85 years and over,COVID-19 related,All,Scotland
S92000003,w/c 2020-06-08,Count,Deaths,8,Male,85 years and over,COVID-19 related,All,Scotland
S92000003,w/c 2020-06-01,Count,Deaths,1,All,All,COVID-19 related,Other institution,Scotland
S92000003,w/c 2020-06-08,Count,Deaths,28,Female,85 years and over,COVID-19 related,All,Scotland
S92000003,w/c 2020-06-01,Count,Deaths,43,All,85 years and over,COVID-19 related,All,Scotland
S92000003,w/c 2020-05-11,Count,Deaths,2,All,All,COVID-19 related,Other institution,Scotland
S92000003,w/c 2020-03-23,Count,Deaths,11,Female,85 years and over,COVID-19 related,All,Scotland
S92000003,w/c 2020-04-27,Count,Deaths,251,Male,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-05-25,Count,Deaths,7,All,All,COVID-19 related,Home / Non-institution,Scotland
S92000003,2020,Count,Deaths,1896,All,All,COVID-19 related,Care Home,Scotland
S92000003,w/c 2020-05-25,Count,Deaths,35,Female,85 years and over,COVID-19 related,All,Scotland
S92000003,w/c 2020-05-25,Count,Deaths,387,All,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-03-23,Count,Deaths,15,All,85 years and over,COVID-19 related,All,Scotland
S92000003,w/c 2020-04-06,Count,Deaths,189,All,All,COVID-19 related,Care Home,Scotland
S92000003,w/c 2020-05-18,Count,Deaths,73,Female,85 years and over,COVID-19 related,All,Scotland
S92000003,w/c 2020-02-17,Count,Deaths,552,All,All,All causes,Hospital,Scotland
S92000003,w/c 2020-01-06,Count,Deaths,357,Female,85 years and over,All causes,All,Scotland
S92000003,2020,Count,Deaths,4309,Male,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-03-02,Count,Deaths,143,Male,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-03-09,Count,Deaths,235,Female,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-01-27,Count,Deaths,232,Female,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-05-04,Count,Deaths,502,All,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-03-30,Count,Deaths,43,Female,85 years and over,COVID-19 related,All,Scotland
S92000003,w/c 2020-03-16,Count,Deaths,223,Female,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-05-04,Count,Deaths,65,Male,85 years and over,COVID-19 related,All,Scotland
S92000003,w/c 2020-04-27,Count,Deaths,173,Female,85 years and over,COVID-19 related,All,Scotland
S92000003,w/c 2020-05-18,Count,Deaths,124,All,All,COVID-19 related,Care Home,Scotland
S92000003,w/c 2020-05-25,Count,Deaths,69,All,All,COVID-19 related,Care Home,Scotland
S92000003,w/c 2020-05-25,Count,Deaths,258,Female,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-01-13,Count,Deaths,178,Male,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-01-20,Count,Deaths,154,Male,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-03-23,Count,Deaths,4,Male,85 years and over,COVID-19 related,All,Scotland
S92000003,2020,Count,Deaths,285,All,All,COVID-19 related,Home / Non-institution,Scotland
S92000003,w/c 2020-03-23,Count,Deaths,14,All,All,COVID-19 related,Home / Non-institution,Scotland
S92000003,w/c 2020-01-06,Count,Deaths,217,Male,85 years and over,All causes,All,Scotland
S92000003,2020,Count,Deaths,7,All,All,COVID-19 related,Other institution,Scotland
S92000003,w/c 2020-03-02,Count,Deaths,264,Female,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-05-18,Count,Deaths,445,All,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-03-30,Count,Deaths,39,All,All,COVID-19 related,Home / Non-institution,Scotland
S92000003,w/c 2020-04-27,Count,Deaths,419,Female,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-04-06,Count,Deaths,64,All,All,COVID-19 related,Home / Non-institution,Scotland
S92000003,w/c 2020-01-27,Count,Deaths,163,Male,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-03-16,Count,Deaths,2,All,All,COVID-19 related,Home / Non-institution,Scotland
S92000003,w/c 2020-04-20,Count,Deaths,438,Female,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-03-16,Count,Deaths,148,Male,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-04-13,Count,Deaths,304,Male,85 years and over,All causes,All,Scotland
S92000003,w/c 2019-12-30,Count,Deaths,145,Male,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-02-24,Count,Deaths,407,All,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-02-17,Count,Deaths,384,All,85 years and over,All causes,All,Scotland
S92000003,2020,Count,Deaths,1761,All,85 years and over,COVID-19 related,All,Scotland
S92000003,w/c 2020-04-06,Count,Deaths,300,Male,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-01-06,Count,Deaths,1567,All,All,All causes,All,Scotland
S92000003,w/c 2020-04-20,Count,Deaths,274,All,85 years and over,COVID-19 related,All,Scotland
S92000003,w/c 2020-04-27,Count,Deaths,670,All,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-03-23,Count,Deaths,382,All,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-03-09,Count,Deaths,571,All,All,All causes,Hospital,Scotland
S92000003,w/c 2020-04-06,Count,Deaths,113,Female,85 years and over,COVID-19 related,All,Scotland
S92000003,w/c 2020-04-20,Count,Deaths,178,Female,85 years and over,COVID-19 related,All,Scotland
S92000003,w/c 2020-03-09,Count,Deaths,166,Male,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-03-16,Count,Deaths,544,All,All,All causes,Hospital,Scotland
S92000003,w/c 2020-05-04,Count,Deaths,197,Male,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-01-27,Count,Deaths,395,All,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-01-20,Count,Deaths,427,All,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-06-01,Count,Deaths,16,Male,85 years and over,COVID-19 related,All,Scotland
S92000003,w/c 2020-02-03,Count,Deaths,604,All,All,All causes,Hospital,Scotland
S92000003,w/c 2020-05-11,Count,Deaths,195,Male,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-04-13,Count,Deaths,751,All,85 years and over,All causes,All,Scotland
S92000003,2020,Count,Deaths,1076,Female,85 years and over,COVID-19 related,All,Scotland
S92000003,w/c 2020-01-06,Count,Deaths,574,All,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-03-16,Count,Deaths,1,Female,85 years and over,COVID-19 related,All,Scotland
S92000003,w/c 2020-05-04,Count,Deaths,183,All,85 years and over,COVID-19 related,All,Scotland
S92000003,w/c 2020-05-18,Count,Deaths,0,All,1-14 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-03-02,Count,Deaths,567,All,All,All causes,Hospital,Scotland
S92000003,w/c 2020-02-10,Count,Deaths,233,Female,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-05-18,Count,Deaths,428,All,All,All causes,Hospital,Scotland
S92000003,w/c 2020-05-11,Count,Deaths,323,Female,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-06-08,Count,Deaths,324,All,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-02-03,Count,Deaths,416,All,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-05-04,Count,Deaths,508,All,All,All causes,Hospital,Scotland
S92000003,w/c 2020-03-23,Count,Deaths,3,Female,45-64 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-04-13,Count,Deaths,75,Female,45-64 years,All causes,All,Scotland
S92000003,w/c 2020-05-11,Count,Deaths,93,All,75-84 years,COVID-19 related,All,Scotland
S92000003,2020,Count,Deaths,117,Female,45-64 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-02-03,Count,Deaths,2,Female,1-14 years,All causes,All,Scotland
S92000003,w/c 2020-05-18,Count,Deaths,12,All,45-64 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-03-30,Count,Deaths,12,Female,45-64 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-05-11,Count,Deaths,51,Male,75-84 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-04-20,Count,Deaths,36,Male,45-64 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-03-16,Count,Deaths,81,Female,45-64 years,All causes,All,Scotland
S92000003,w/c 2020-03-30,Count,Deaths,226,All,45-64 years,All causes,All,Scotland
S92000003,w/c 2020-03-23,Count,Deaths,12,All,45-64 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-03-30,Count,Deaths,107,All,75-84 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-05-11,Count,Deaths,222,Male,75-84 years,All causes,All,Scotland
S92000003,w/c 2020-03-16,Count,Deaths,1,Male,85 years and over,COVID-19 related,All,Scotland
S92000003,w/c 2020-01-20,Count,Deaths,171,All,45-64 years,All causes,All,Scotland
S92000003,w/c 2020-04-06,Count,Deaths,100,Male,85 years and over,COVID-19 related,All,Scotland
S92000003,w/c 2020-05-18,Count,Deaths,152,Male,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-02-24,Count,Deaths,1171,All,All,All causes,All,Scotland
S92000003,w/c 2020-04-13,Count,Deaths,168,Female,85 years and over,COVID-19 related,All,Scotland
S92000003,w/c 2020-05-25,Count,Deaths,60,All,85 years and over,COVID-19 related,All,Scotland
S92000003,2020,Count,Deaths,337,All,45-64 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-05-18,Count,Deaths,164,All,45-64 years,All causes,All,Scotland
S92000003,w/c 2020-04-27,Count,Deaths,96,Male,85 years and over,COVID-19 related,All,Scotland
S92000003,w/c 2020-02-24,Count,Deaths,165,All,45-64 years,All causes,All,Scotland
S92000003,w/c 2020-02-03,Count,Deaths,165,Male,85 years and over,All causes,All,Scotland
S92000003,w/c 2019-12-30,Count,Deaths,1161,All,All,All causes,All,Scotland
S92000003,w/c 2019-12-30,Count,Deaths,61,Female,45-64 years,All causes,All,Scotland
S92000003,w/c 2020-04-06,Count,Deaths,241,All,45-64 years,All causes,All,Scotland
S92000003,w/c 2020-01-13,Count,Deaths,385,All,75-84 years,All causes,All,Scotland
S92000003,w/c 2020-06-01,Count,Deaths,14,Male,75-84 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-02-17,Count,Deaths,65,Female,45-64 years,All causes,All,Scotland
S92000003,w/c 2020-05-25,Count,Deaths,4,Male,45-64 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-03-09,Count,Deaths,183,All,45-64 years,All causes,All,Scotland
S92000003,w/c 2020-03-30,Count,Deaths,30,All,45-64 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-06-08,Count,Deaths,1,All,1-14 years,All causes,All,Scotland
S92000003,w/c 2020-03-02,Count,Deaths,71,Female,45-64 years,All causes,All,Scotland
S92000003,w/c 2020-05-04,Count,Deaths,467,All,75-84 years,All causes,All,Scotland
S92000003,w/c 2020-04-27,Count,Deaths,207,All,45-64 years,All causes,All,Scotland
S92000003,w/c 2020-05-04,Count,Deaths,145,All,75-84 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-02-10,Count,Deaths,166,All,45-64 years,All causes,All,Scotland
S92000003,w/c 2020-03-23,Count,Deaths,146,All,45-64 years,All causes,All,Scotland
S92000003,w/c 2020-04-20,Count,Deaths,226,All,75-84 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-02-03,Count,Deaths,64,Female,45-64 years,All causes,All,Scotland
S92000003,w/c 2020-05-11,Count,Deaths,25,All,45-64 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-06-01,Count,Deaths,9,All,45-64 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-04-20,Count,Deaths,17,Female,45-64 years,COVID-19 related,All,Scotland
S92000003,w/c 2019-12-30,Count,Deaths,153,All,45-64 years,All causes,All,Scotland
S92000003,w/c 2020-05-04,Count,Deaths,80,Female,45-64 years,All causes,All,Scotland
S92000003,w/c 2020-03-09,Count,Deaths,75,Female,45-64 years,All causes,All,Scotland
S92000003,w/c 2020-05-18,Count,Deaths,68,Female,45-64 years,All causes,All,Scotland
S92000003,w/c 2020-06-01,Count,Deaths,2,Female,45-64 years,COVID-19 related,All,Scotland
S92000003,w/c 2020-03-23,Count,Deaths,56,Female,45-64 years,All causes,All,Scotland
S92000003,w/c 2020-05-11,Count,Deaths,71,Female,45-64 years,All causes,All,Scotland
S92000003,w/c 2020-02-10,Count,Deaths,384,All,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-03-16,Count,Deaths,371,All,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-04-27,Count,Deaths,269,All,85 years and over,COVID-19 related,All,Scotland
S92000003,w/c 2020-04-06,Count,Deaths,213,All,85 years and over,COVID-19 related,All,Scotland
S92000003,w/c 2020-03-30,Count,Deaths,74,All,85 years and over,COVID-19 related,All,Scotland
S92000003,w/c 2020-02-17,Count,Deaths,145,Male,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-04-06,Count,Deaths,703,All,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-02-03,Count,Deaths,251,Female,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-03-23,Count,Deaths,134,Male,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-03-09,Count,Deaths,401,All,85 years and over,All causes,All,Scotland
S92000003,w/c 2020-05-25,Count,Deaths,25,Male,85 years and over,COVID-19 related,All,Scotland
