Generated by http://statistics.gov.scot,2020-08-13T13:48:30+00:00
http://statistics.gov.scot/data/business-stocks-and-sites,Business Stocks and Sites
Reference Period,2017
Business Estimates,Sites
Industry Sector (SIC 07),Accommodation and Food Services (Section I)
Number Of Employees,All employees
Measure (cell values): ,Count(Sites)

,,http://statistics.gov.scot/def/measure-properties/count
http://statistics.gov.scot/id/statistical-geography/S02000267,Lenzie South,10
http://statistics.gov.scot/id/statistical-geography/S02001052,Lerwick North,45
http://statistics.gov.scot/id/statistical-geography/S02001051,Lerwick South,5
http://statistics.gov.scot/id/statistical-geography/S02000551,Leslie and Newcastle,5
http://statistics.gov.scot/id/statistical-geography/S02001084,Lesmahagow,10
http://statistics.gov.scot/id/statistical-geography/S02000965,Letham,5
http://statistics.gov.scot/id/statistical-geography/S02000116,Letham and Glamis,10
http://statistics.gov.scot/id/statistical-geography/S02000580,Leuchars and Guardbridge,10
http://statistics.gov.scot/id/statistical-geography/S02000566,Leven East and Bonnybank,15
http://statistics.gov.scot/id/statistical-geography/S02000555,Leven North,0
http://statistics.gov.scot/id/statistical-geography/S02000552,Leven West,5
http://statistics.gov.scot/id/statistical-geography/S02000826,"Lhanbryde, Urquhart, Pitgavney and seaward",0
http://statistics.gov.scot/id/statistical-geography/S02000342,Liberton East,5
http://statistics.gov.scot/id/statistical-geography/S02000346,Liberton West,5
http://statistics.gov.scot/id/statistical-geography/S02000187,Lincluden and Lochside,5
http://statistics.gov.scot/id/statistical-geography/S02000221,Linlathen and Midcraigie,15
http://statistics.gov.scot/id/statistical-geography/S02001235,Linlithgow Bridge,25
http://statistics.gov.scot/id/statistical-geography/S02001234,Linlithgow North,5
http://statistics.gov.scot/id/statistical-geography/S02001232,Linlithgow South,5
http://statistics.gov.scot/id/statistical-geography/S02001006,Linwood North,0
http://statistics.gov.scot/id/statistical-geography/S02001005,Linwood South,10
http://statistics.gov.scot/id/statistical-geography/S02001111,Little Earnock,5
http://statistics.gov.scot/id/statistical-geography/S02000803,Loanhead,15
http://statistics.gov.scot/id/statistical-geography/S02000147,Loch Awe,40
http://statistics.gov.scot/id/statistical-geography/S02000722,Loch Ness,50
http://statistics.gov.scot/id/statistical-geography/S02000720,Lochaber East and North,65
http://statistics.gov.scot/id/statistical-geography/S02000718,Lochaber West,60
http://statistics.gov.scot/id/statistical-geography/S02000725,Lochalsh,30
http://statistics.gov.scot/id/statistical-geography/S02000188,Locharbriggs,5
http://statistics.gov.scot/id/statistical-geography/S02000214,Lochee,15
http://statistics.gov.scot/id/statistical-geography/S02000529,Lochgelly East,10
http://statistics.gov.scot/id/statistical-geography/S02000525,Lochgelly West and Lumphinnans,0
http://statistics.gov.scot/id/statistical-geography/S02000443,"Lochgreen, Lionthorn and Prospecthill",0
http://statistics.gov.scot/id/statistical-geography/S02000192,Lochmaben and Parkgate,10
http://statistics.gov.scot/id/statistical-geography/S02000536,Lochore and Crosshill,5
http://statistics.gov.scot/id/statistical-geography/S02001070,"Lochside, Braehead and Whitletts",10
http://statistics.gov.scot/id/statistical-geography/S02000983,Lochwinnoch,10
http://statistics.gov.scot/id/statistical-geography/S02000194,Lockerbie and Mid Annandale,20
http://statistics.gov.scot/id/statistical-geography/S02001177,Logie,15
http://statistics.gov.scot/id/statistical-geography/S02000202,Logie and Blackness,5
http://statistics.gov.scot/id/statistical-geography/S02000144,Lomond Shore,15
http://statistics.gov.scot/id/statistical-geography/S02000092,Longside and Rattray,5
http://statistics.gov.scot/id/statistical-geography/S02000356,Longstone and Saughton Mains,5
http://statistics.gov.scot/id/statistical-geography/S02000409,Lorne,25
http://statistics.gov.scot/id/statistical-geography/S02000830,Lossiemouth East and Seatown,20
http://statistics.gov.scot/id/statistical-geography/S02000831,Lossiemouth West,10
http://statistics.gov.scot/id/statistical-geography/S02001151,Low Blantyre and Bardykes,5
http://statistics.gov.scot/id/statistical-geography/S02001119,Low Waters,10
http://statistics.gov.scot/id/statistical-geography/S02000178,Lower Annandale and South East Dumfries,15
http://statistics.gov.scot/id/statistical-geography/S02000783,"Lower Bow & Larkfield, Fancy Farm, Mallard Bowl",0
http://statistics.gov.scot/id/statistical-geography/S02000191,Lower Nithsdale,5
http://statistics.gov.scot/id/statistical-geography/S02000323,Lower Whitecraigs and South Giffnock,5
http://statistics.gov.scot/id/statistical-geography/S02000121,Lunan,5
http://statistics.gov.scot/id/statistical-geography/S02000974,Luncarty and Dunkeld,25
http://statistics.gov.scot/id/statistical-geography/S02000100,Macduff,10
http://statistics.gov.scot/id/statistical-geography/S02000164,Machars South,15
http://statistics.gov.scot/id/statistical-geography/S02000442,Maddiston and Rumford,5
http://statistics.gov.scot/id/statistical-geography/S02000374,Marchmont East and Sciennes,15
http://statistics.gov.scot/id/statistical-geography/S02000371,Marchmont West,5
http://statistics.gov.scot/id/statistical-geography/S02000562,Markinch and Star,5
http://statistics.gov.scot/id/statistical-geography/S02000704,Maryhill East,0
http://statistics.gov.scot/id/statistical-geography/S02000700,Maryhill West,10
http://statistics.gov.scot/id/statistical-geography/S02000025,Mastrick,5
http://statistics.gov.scot/id/statistical-geography/S02000239,Mauchline,10
http://statistics.gov.scot/id/statistical-geography/S02000235,Mauchline Rural,5
http://statistics.gov.scot/id/statistical-geography/S02000612,Maxwell Park,5
http://statistics.gov.scot/id/statistical-geography/S02001061,Maybole,10
http://statistics.gov.scot/id/statistical-geography/S02000799,Mayfield,0
http://statistics.gov.scot/id/statistical-geography/S02000379,Meadows,70
http://statistics.gov.scot/id/statistical-geography/S02000050,Mearns North and Inverbervie,15
http://statistics.gov.scot/id/statistical-geography/S02000048,Mearns South and Benholm,10
http://statistics.gov.scot/id/statistical-geography/S02000313,"Mearns Village, Westacres and Greenfarm",10
http://statistics.gov.scot/id/statistical-geography/S02000049,Mearns and Laurencekirk,10
http://statistics.gov.scot/id/statistical-geography/S02000311,Mearnskirk and South Kirkhill,5
http://statistics.gov.scot/id/statistical-geography/S02001033,Melrose and Tweedbank area,15
http://statistics.gov.scot/id/statistical-geography/S02000160,Menstrie,5
http://statistics.gov.scot/id/statistical-geography/S02000205,Menzieshill,5
http://statistics.gov.scot/id/statistical-geography/S02000360,Merchiston and Greenhill,20
http://statistics.gov.scot/id/statistical-geography/S02000467,Merchiston and New Carron Village,10
http://statistics.gov.scot/id/statistical-geography/S02000326,Merrylee and Braidbar,5
http://statistics.gov.scot/id/statistical-geography/S02000598,Merrylee and Millbrae,0
http://statistics.gov.scot/id/statistical-geography/S02001106,Merryton and Meadowhill,5
http://statistics.gov.scot/id/statistical-geography/S02000541,Methil Denbeath,5
http://statistics.gov.scot/id/statistical-geography/S02000546,Methil East,5
http://statistics.gov.scot/id/statistical-geography/S02000547,Methil Methilhill,5
http://statistics.gov.scot/id/statistical-geography/S02000543,Methil West,5
http://statistics.gov.scot/id/statistical-geography/S02000145,Mid Argyll,15
http://statistics.gov.scot/id/statistical-geography/S02000196,Mid Nithsdale,15
http://statistics.gov.scot/id/statistical-geography/S02000462,Middlefield,0
http://statistics.gov.scot/id/statistical-geography/S02000023,Midstocket,5
http://statistics.gov.scot/id/statistical-geography/S02000951,Milnathort and Crook of Devon,5
http://statistics.gov.scot/id/statistical-geography/S02000890,Milnwood,5
http://statistics.gov.scot/id/statistical-geography/S02000708,Milton East,0
http://statistics.gov.scot/id/statistical-geography/S02000701,Milton West,10
http://statistics.gov.scot/id/statistical-geography/S02000286,Milton of Campsie,0
http://statistics.gov.scot/id/statistical-geography/S02000090,Mintlaw,10
http://statistics.gov.scot/id/statistical-geography/S02000197,Moffat and Eskdalemuir,20
http://statistics.gov.scot/id/statistical-geography/S02000959,Moncrieffe and Friarton,10
http://statistics.gov.scot/id/statistical-geography/S02000106,Monifieth East,10
http://statistics.gov.scot/id/statistical-geography/S02000105,Monifieth West,0
http://statistics.gov.scot/id/statistical-geography/S02000109,Monikie,15
http://statistics.gov.scot/id/statistical-geography/S02000125,Montrose North,10
http://statistics.gov.scot/id/statistical-geography/S02000124,Montrose South,35
http://statistics.gov.scot/id/statistical-geography/S02000927,Moodiesburn East,5
http://statistics.gov.scot/id/statistical-geography/S02000926,Moodiesburn West,0
http://statistics.gov.scot/id/statistical-geography/S02000171,Moors,15
http://statistics.gov.scot/id/statistical-geography/S02000345,Moredun,5
http://statistics.gov.scot/id/statistical-geography/S02000357,Morningside,20
http://statistics.gov.scot/id/statistical-geography/S02000334,Mortonhall,5
http://statistics.gov.scot/id/statistical-geography/S02001110,Mossneuk and Newlandsmuir,0
http://statistics.gov.scot/id/statistical-geography/S02000621,Mosspark,5
http://statistics.gov.scot/id/statistical-geography/S02000821,"Mosstodloch, Portgordon and seaward",0
http://statistics.gov.scot/id/statistical-geography/S02000883,Motherwell North,5
http://statistics.gov.scot/id/statistical-geography/S02000881,Motherwell South,45
http://statistics.gov.scot/id/statistical-geography/S02000882,Motherwell West,0
http://statistics.gov.scot/id/statistical-geography/S02000603,Mount Florida,15
http://statistics.gov.scot/id/statistical-geography/S02000623,Mount Vernon North and Sandyhills,0
http://statistics.gov.scot/id/statistical-geography/S02000395,Mountcastle,5
http://statistics.gov.scot/id/statistical-geography/S02000593,Muirend and Old Cathcart,5
http://statistics.gov.scot/id/statistical-geography/S02001078,Muirhead,5
http://statistics.gov.scot/id/statistical-geography/S02000419,Muirhouse,5
http://statistics.gov.scot/id/statistical-geography/S02000876,Muirhouse and Knowetop,20
http://statistics.gov.scot/id/statistical-geography/S02000967,Muirton,5
http://statistics.gov.scot/id/statistical-geography/S02000151,"Mull, Iona, Coll and Tiree",45
http://statistics.gov.scot/id/statistical-geography/S02001208,Murieston,5
http://statistics.gov.scot/id/statistical-geography/S02000390,Murrayfield and Ravelston,10
http://statistics.gov.scot/id/statistical-geography/S02000952,"Muthill, Greenloaning and Gleneagles",10
http://statistics.gov.scot/id/statistical-geography/S02000750,Nairn East,25
http://statistics.gov.scot/id/statistical-geography/S02000738,Nairn Rural,10
http://statistics.gov.scot/id/statistical-geography/S02000749,Nairn West,15
http://statistics.gov.scot/id/statistical-geography/S02001114,Nerston and EK Landward Area,20
http://statistics.gov.scot/id/statistical-geography/S02000325,Netherlee,5
http://statistics.gov.scot/id/statistical-geography/S02000469,Nethermains,5
http://statistics.gov.scot/id/statistical-geography/S02000874,Netherton and Kirkhill,10
http://statistics.gov.scot/id/statistical-geography/S02000175,New Abbey,15
http://statistics.gov.scot/id/statistical-geography/S02000232,New Cumnock,5
http://statistics.gov.scot/id/statistical-geography/S02000819,New Elgin East,5
http://statistics.gov.scot/id/statistical-geography/S02000818,New Elgin West,5
http://statistics.gov.scot/id/statistical-geography/S02000251,New Farm Loch South,0
http://statistics.gov.scot/id/statistical-geography/S02000094,New Pitsligo,10
http://statistics.gov.scot/id/statistical-geography/S02000405,New Town East,35
http://statistics.gov.scot/id/statistical-geography/S02000398,New Town West,115
http://statistics.gov.scot/id/statistical-geography/S02000891,Newarthill,5
http://statistics.gov.scot/id/statistical-geography/S02000796,Newbattle and Dalhousie,10
http://statistics.gov.scot/id/statistical-geography/S02000579,Newburgh,5
http://statistics.gov.scot/id/statistical-geography/S02001021,Newcastleton and Teviot area,15
http://statistics.gov.scot/id/statistical-geography/S02000463,Newlands,10
http://statistics.gov.scot/id/statistical-geography/S02000596,Newlands,10
http://statistics.gov.scot/id/statistical-geography/S02000070,Newmachar and Fintray,5
http://statistics.gov.scot/id/statistical-geography/S02000875,Newmains,15
http://statistics.gov.scot/id/statistical-geography/S02000246,Newmilns,5
http://statistics.gov.scot/id/statistical-geography/S02000582,Newport and Wormit,5
http://statistics.gov.scot/id/statistical-geography/S02001071,Newton North,5
http://statistics.gov.scot/id/statistical-geography/S02000798,Newtongrange,5
http://statistics.gov.scot/id/statistical-geography/S02000055,Newtonhill,5
http://statistics.gov.scot/id/statistical-geography/S02000457,Newtown,0
http://statistics.gov.scot/id/statistical-geography/S02000362,Niddrie,0
http://statistics.gov.scot/id/statistical-geography/S02000186,Nithside and Nunholm,95
http://statistics.gov.scot/id/statistical-geography/S02000597,Nitshill,25
http://statistics.gov.scot/id/statistical-geography/S02000652,North Barlanark and Easterhouse South,5
http://statistics.gov.scot/id/statistical-geography/S02000477,North Broomage and Inches,10
http://statistics.gov.scot/id/statistical-geography/S02000276,North Castlehill and Thorn,5
http://statistics.gov.scot/id/statistical-geography/S02000327,North Giffnock and North Thornliebank,20
http://statistics.gov.scot/id/statistical-geography/S02000795,North Gorebridge,5
http://statistics.gov.scot/id/statistical-geography/S02000683,North Kelvin,10
http://statistics.gov.scot/id/statistical-geography/S02000312,North Kirkhill,0
http://statistics.gov.scot/id/statistical-geography/S02000427,North Leith and Newhaven,20
http://statistics.gov.scot/id/statistical-geography/S02001055,North Mainland,20
http://statistics.gov.scot/id/statistical-geography/S02000971,North Muirton and Old Scone,5
http://statistics.gov.scot/id/statistical-geography/S02000481,North Queensferry and Inverkeithing West,10
http://statistics.gov.scot/id/statistical-geography/S02000809,North Speyside,20
http://statistics.gov.scot/id/statistical-geography/S02001056,North and East Isles,10
http://statistics.gov.scot/id/statistical-geography/S02000257,Northern and Irvine Valley Rural,10
http://statistics.gov.scot/id/statistical-geography/S02000031,Northfield,5
http://statistics.gov.scot/id/statistical-geography/S02000392,Northfield,10
http://statistics.gov.scot/id/statistical-geography/S02000439,Northwest Lewis,5
http://statistics.gov.scot/id/statistical-geography/S02001209,Oakbank,10
http://statistics.gov.scot/id/statistical-geography/S02000511,"Oakley, Comrie and Blairhall",10
http://statistics.gov.scot/id/statistical-geography/S02000149,Oban North,60
http://statistics.gov.scot/id/statistical-geography/S02000148,Oban South,25
http://statistics.gov.scot/id/statistical-geography/S02000037,Old Aberdeen,5
http://statistics.gov.scot/id/statistical-geography/S02000643,Old Shettleston and Parkhead North,10
http://statistics.gov.scot/id/statistical-geography/S02000393,Old Town and Leith Street,390
http://statistics.gov.scot/id/statistical-geography/S02000044,Oldmachar East,5
http://statistics.gov.scot/id/statistical-geography/S02000045,Oldmachar West,0
http://statistics.gov.scot/id/statistical-geography/S02000888,Orbiston,0
http://statistics.gov.scot/id/statistical-geography/S02000870,Overtown,0
http://statistics.gov.scot/id/statistical-geography/S02000341,Oxgangs and Firrhill,5
http://statistics.gov.scot/id/statistical-geography/S02001000,Paisley Central,75
http://statistics.gov.scot/id/statistical-geography/S02000989,Paisley Dykebar,0
http://statistics.gov.scot/id/statistical-geography/S02000997,Paisley East,0
http://statistics.gov.scot/id/statistical-geography/S02001003,Paisley Ferguslie,0
http://statistics.gov.scot/id/statistical-geography/S02000987,Paisley Foxbar,0
http://statistics.gov.scot/id/statistical-geography/S02001007,Paisley Gallowhill and Hillington,20
http://statistics.gov.scot/id/statistical-geography/S02000986,Paisley Glenburn East,0
http://statistics.gov.scot/id/statistical-geography/S02000985,Paisley Glenburn West,0
http://statistics.gov.scot/id/statistical-geography/S02001010,Paisley North,45
http://statistics.gov.scot/id/statistical-geography/S02001004,Paisley North East,20
http://statistics.gov.scot/id/statistical-geography/S02001001,Paisley North West,15
http://statistics.gov.scot/id/statistical-geography/S02001002,Paisley Ralston,0
http://statistics.gov.scot/id/statistical-geography/S02000993,Paisley South,5
http://statistics.gov.scot/id/statistical-geography/S02000991,Paisley South East,10
http://statistics.gov.scot/id/statistical-geography/S02000990,Paisley South West,0
http://statistics.gov.scot/id/statistical-geography/S02000995,Paisley West,0
http://statistics.gov.scot/id/statistical-geography/S02000353,Parkhead,5
http://statistics.gov.scot/id/statistical-geography/S02000629,Parkhead East and Braidfauld North,0
http://statistics.gov.scot/id/statistical-geography/S02000633,Parkhead West and Barrowfield,35
http://statistics.gov.scot/id/statistical-geography/S02000671,Partick,5
http://statistics.gov.scot/id/statistical-geography/S02000677,Partickhill and Hyndland,10
http://statistics.gov.scot/id/statistical-geography/S02000871,Pather,5
http://statistics.gov.scot/id/statistical-geography/S02000794,Pathhead and Rural East Midlothian,10
http://statistics.gov.scot/id/statistical-geography/S02001042,Peebles North,30
http://statistics.gov.scot/id/statistical-geography/S02001041,Peebles South,0
http://statistics.gov.scot/id/statistical-geography/S02000791,Penicuik East,5
http://statistics.gov.scot/id/statistical-geography/S02000792,Penicuik North,0
http://statistics.gov.scot/id/statistical-geography/S02000789,Penicuik Southeast,15
http://statistics.gov.scot/id/statistical-geography/S02000790,Penicuik Southwest,0
http://statistics.gov.scot/id/statistical-geography/S02000641,Penilee,5
http://statistics.gov.scot/id/statistical-geography/S02000797,Pentland,25
http://statistics.gov.scot/id/statistical-geography/S02000199,Perth Road,40
http://statistics.gov.scot/id/statistical-geography/S02000086,Peterhead Bay,5
http://statistics.gov.scot/id/statistical-geography/S02000088,Peterhead Harbour,40
http://statistics.gov.scot/id/statistical-geography/S02000085,Peterhead Links,10
http://statistics.gov.scot/id/statistical-geography/S02000089,Peterhead Ugieside,5
http://statistics.gov.scot/id/statistical-geography/S02000910,Petersburn,5
http://statistics.gov.scot/id/statistical-geography/S02000680,Petershill,5
http://statistics.gov.scot/id/statistical-geography/S02000248,Piersland,5
http://statistics.gov.scot/id/statistical-geography/S02000980,Pitlochry,45
http://statistics.gov.scot/id/statistical-geography/S02000435,Point,5
http://statistics.gov.scot/id/statistical-geography/S02000617,Pollok North and East,0
http://statistics.gov.scot/id/statistical-geography/S02000608,Pollok South and West,10
http://statistics.gov.scot/id/statistical-geography/S02000602,Pollokshaws,15
http://statistics.gov.scot/id/statistical-geography/S02000622,Pollokshields East,15
http://statistics.gov.scot/id/statistical-geography/S02000624,Pollokshields West,10
http://statistics.gov.scot/id/statistical-geography/S02000449,Polmont,10
http://statistics.gov.scot/id/statistical-geography/S02000375,Polwarth,10
http://statistics.gov.scot/id/statistical-geography/S02000775,"Port Glasgow Mid, East and Central",5
http://statistics.gov.scot/id/statistical-geography/S02000774,Port Glasgow Upper East,0
http://statistics.gov.scot/id/statistical-geography/S02000776,"Port Glasgow Upper, West and Central",15
http://statistics.gov.scot/id/statistical-geography/S02000058,Portlethen,10
http://statistics.gov.scot/id/statistical-geography/S02000396,Portobello,25
http://statistics.gov.scot/id/statistical-geography/S02000172,Portpatrick,25
http://statistics.gov.scot/id/statistical-geography/S02000097,"Portsoy, Fordyce and Cornhill",10
http://statistics.gov.scot/id/statistical-geography/S02000692,Possil Park,10
http://statistics.gov.scot/id/statistical-geography/S02000949,"Powmill, Cleish and Scotlandwell",10
http://statistics.gov.scot/id/statistical-geography/S02000364,Prestonfield,5
http://statistics.gov.scot/id/statistical-geography/S02001075,Prestwick Airport and Monkton,25
http://statistics.gov.scot/id/statistical-geography/S02001073,Prestwick East,0
http://statistics.gov.scot/id/statistical-geography/S02001074,Prestwick West,25
http://statistics.gov.scot/id/statistical-geography/S02000812,"Rafford, Dallas, Dyke to Dava",5
http://statistics.gov.scot/id/statistical-geography/S02000981,Rannoch and Aberfeldy,55
http://statistics.gov.scot/id/statistical-geography/S02001174,Raploch,10
http://statistics.gov.scot/id/statistical-geography/S02000369,"Ratho, Gogarburn and Airport",30
http://statistics.gov.scot/id/statistical-geography/S02000447,Redding,5
http://statistics.gov.scot/id/statistical-geography/S02001013,Renfrew East,10
http://statistics.gov.scot/id/statistical-geography/S02001016,Renfrew North,50
http://statistics.gov.scot/id/statistical-geography/S02001011,Renfrew South,5
http://statistics.gov.scot/id/statistical-geography/S02001014,Renfrew West,5
http://statistics.gov.scot/id/statistical-geography/S02001015,Renfrewshire Rural North and Langbank,20
http://statistics.gov.scot/id/statistical-geography/S02000984,Renfrewshire Rural South & Howwood,5
http://statistics.gov.scot/id/statistical-geography/S02000403,Restalrig (Loganlea),5
http://statistics.gov.scot/id/statistical-geography/S02000410,Restalrig and Lochend,5
http://statistics.gov.scot/id/statistical-geography/S02000667,Riddrie and Hogganfield,5
http://statistics.gov.scot/id/statistical-geography/S02000695,Robroyston and Millerston,10
http://statistics.gov.scot/id/statistical-geography/S02000274,Rosebank and Waterside,5
http://statistics.gov.scot/id/statistical-geography/S02000098,Rosehearty and Strathbeg,15
http://statistics.gov.scot/id/statistical-geography/S02000021,Rosemount,15
http://statistics.gov.scot/id/statistical-geography/S02000754,Ross and Cromarty Central,15
http://statistics.gov.scot/id/statistical-geography/S02000757,Ross and Cromarty East,10
http://statistics.gov.scot/id/statistical-geography/S02000760,Ross and Cromarty North West,40
http://statistics.gov.scot/id/statistical-geography/S02000751,Ross and Cromarty South West,40
http://statistics.gov.scot/id/statistical-geography/S02000486,Rosyth Central,5
http://statistics.gov.scot/id/statistical-geography/S02000488,Rosyth East,5
http://statistics.gov.scot/id/statistical-geography/S02000489,Rosyth North,5
http://statistics.gov.scot/id/statistical-geography/S02000482,Rosyth South,15
http://statistics.gov.scot/id/statistical-geography/S02000182,Rotchell and Rosefield,5
http://statistics.gov.scot/id/statistical-geography/S02000133,Rothesay Town,25
http://statistics.gov.scot/id/statistical-geography/S02000666,"Roystonhill, Blochairn, and Provanmill",5
http://statistics.gov.scot/id/statistical-geography/S02000688,Ruchill,20
http://statistics.gov.scot/id/statistical-geography/S02000810,Rural Keith and Strathisla,5
http://statistics.gov.scot/id/statistical-geography/S02000788,Rural South Midlothian,15
http://statistics.gov.scot/id/statistical-geography/S02000521,Saline and Gowkall,5
http://statistics.gov.scot/id/statistical-geography/S02000846,Saltcoats Central,25
http://statistics.gov.scot/id/statistical-geography/S02000852,Saltcoats North East,0
http://statistics.gov.scot/id/statistical-geography/S02000848,Saltcoats North West,0
http://statistics.gov.scot/id/statistical-geography/S02001164,Sauchenford,10
http://statistics.gov.scot/id/statistical-geography/S02000155,Sauchie,10
http://statistics.gov.scot/id/statistical-geography/S02000968,Scone,5
http://statistics.gov.scot/id/statistical-geography/S02000686,Scotstoun North and East,0
http://statistics.gov.scot/id/statistical-geography/S02000684,Scotstoun South and West,15
http://statistics.gov.scot/id/statistical-geography/S02000758,Seaboard,10
http://statistics.gov.scot/id/statistical-geography/S02000931,Seafar,0
http://statistics.gov.scot/id/statistical-geography/S02000032,Seaton,5
http://statistics.gov.scot/id/statistical-geography/S02001030,Selkirk,20
http://statistics.gov.scot/id/statistical-geography/S02000365,Shandon,5
http://statistics.gov.scot/id/statistical-geography/S02000807,Shawfair,10
http://statistics.gov.scot/id/statistical-geography/S02001161,Shawfield and Clincarthill,30
http://statistics.gov.scot/id/statistical-geography/S02000900,Shawhead and Whifflet,5
http://statistics.gov.scot/id/statistical-geography/S02000605,Shawlands East,20
http://statistics.gov.scot/id/statistical-geography/S02000609,Shawlands West,20
http://statistics.gov.scot/id/statistical-geography/S02000027,Sheddocksley,5
http://statistics.gov.scot/id/statistical-geography/S02001050,Shetland South,5
http://statistics.gov.scot/id/statistical-geography/S02000632,Shettleston North,25
http://statistics.gov.scot/id/statistical-geography/S02000611,Shettleston South,15
http://statistics.gov.scot/id/statistical-geography/S02000441,Shieldhill,0
http://statistics.gov.scot/id/statistical-geography/S02000240,Shortlees,5
http://statistics.gov.scot/id/statistical-geography/S02000894,Shotts,5
http://statistics.gov.scot/id/statistical-geography/S02000670,Sighthill,0
http://statistics.gov.scot/id/statistical-geography/S02000417,Silverknowes and Davidson's Mains,15
http://statistics.gov.scot/id/statistical-geography/S02001127,Silvertonhill,15
http://statistics.gov.scot/id/statistical-geography/S02000867,Skelmorlie and Rural,5
http://statistics.gov.scot/id/statistical-geography/S02000745,Skye North East,45
http://statistics.gov.scot/id/statistical-geography/S02000746,Skye North West,25
http://statistics.gov.scot/id/statistical-geography/S02000724,Skye South,40
http://statistics.gov.scot/id/statistical-geography/S02000110,South Angus,10
http://statistics.gov.scot/id/statistical-geography/S02000271,South Castlehill and Thorn,0
http://statistics.gov.scot/id/statistical-geography/S02000332,South East Bypass,5
http://statistics.gov.scot/id/statistical-geography/S02000363,South Gyle,30
http://statistics.gov.scot/id/statistical-geography/S02000416,South Leith,25
http://statistics.gov.scot/id/statistical-geography/S02000434,South Lewis,10
http://statistics.gov.scot/id/statistical-geography/S02000429,South Queensferry (East) and Dalmeny,35
http://statistics.gov.scot/id/statistical-geography/S02000430,South Queensferry West,5
http://statistics.gov.scot/id/statistical-geography/S02000808,South Speyside and the Cabrach,25
http://statistics.gov.scot/id/statistical-geography/S02000324,South Thornliebank and Woodfarm,5
http://statistics.gov.scot/id/statistical-geography/S02000255,Southcraig and Beansburn,5
http://statistics.gov.scot/id/statistical-geography/S02000387,Southside and Canongate,55
http://statistics.gov.scot/id/statistical-geography/S02001152,Spittal,0
http://statistics.gov.scot/id/statistical-geography/S02000691,Springburn,10
http://statistics.gov.scot/id/statistical-geography/S02000694,Springburn East and Cowlairs,5
http://statistics.gov.scot/id/statistical-geography/S02000842,Springside and Rural,10
http://statistics.gov.scot/id/statistical-geography/S02000577,St Andrews Central,65
http://statistics.gov.scot/id/statistical-geography/S02000578,St Andrews North and Strathkinness,20
http://statistics.gov.scot/id/statistical-geography/S02000576,St Andrews South East,5
http://statistics.gov.scot/id/statistical-geography/S02000572,St Andrews South West,10
http://statistics.gov.scot/id/statistical-geography/S02001031,St Boswells and Newtown area,10
http://statistics.gov.scot/id/statistical-geography/S02001126,St Leonards North,5
http://statistics.gov.scot/id/statistical-geography/S02001121,St Leonards South,10
http://statistics.gov.scot/id/statistical-geography/S02000558,St Monans and Pittenweem,10
http://statistics.gov.scot/id/statistical-geography/S02000320,Stamperland,5
http://statistics.gov.scot/id/statistical-geography/S02000889,Stane,10
http://statistics.gov.scot/id/statistical-geography/S02000975,Stanley and Murthly,10
http://statistics.gov.scot/id/statistical-geography/S02001224,Starlaw,5
http://statistics.gov.scot/id/statistical-geography/S02000367,Stenhouse,5
http://statistics.gov.scot/id/statistical-geography/S02000472,Stenhousemuir East,5
http://statistics.gov.scot/id/statistical-geography/S02000475,Stenhousemuir West,10
http://statistics.gov.scot/id/statistical-geography/S02000923,Stepps,20
http://statistics.gov.scot/id/statistical-geography/S02000844,Stevenston Ardeer,10
http://statistics.gov.scot/id/statistical-geography/S02000850,Stevenston Hayocks,5
http://statistics.gov.scot/id/statistical-geography/S02000847,Stevenston North West,10
http://statistics.gov.scot/id/statistical-geography/S02001135,Stewartfield East,0
http://statistics.gov.scot/id/statistical-geography/S02001131,Stewartfield West,15
http://statistics.gov.scot/id/statistical-geography/S02000259,Stewarton East,15
http://statistics.gov.scot/id/statistical-geography/S02000258,Stewarton West,0
http://statistics.gov.scot/id/statistical-geography/S02001169,Stirling East,5
http://statistics.gov.scot/id/statistical-geography/S02000208,Stobswell,20
http://statistics.gov.scot/id/statistical-geography/S02000404,Stockbridge,40
http://statistics.gov.scot/id/statistical-geography/S02000028,Stockethill,5
http://statistics.gov.scot/id/statistical-geography/S02000052,Stonehaven North,10
http://statistics.gov.scot/id/statistical-geography/S02000051,Stonehaven South,30
http://statistics.gov.scot/id/statistical-geography/S02001092,Stonehouse,5
http://statistics.gov.scot/id/statistical-geography/S02000436,Stornoway East,0
http://statistics.gov.scot/id/statistical-geography/S02000437,Stornoway West,40
http://statistics.gov.scot/id/statistical-geography/S02000169,Stranraer Central,40
http://statistics.gov.scot/id/statistical-geography/S02000170,Stranraer West,10
http://statistics.gov.scot/id/statistical-geography/S02001094,Strathaven North,0
http://statistics.gov.scot/id/statistical-geography/S02001089,Strathaven South,15
http://statistics.gov.scot/id/statistical-geography/S02000614,Strathbungo,35
http://statistics.gov.scot/id/statistical-geography/S02001167,Strathendrick,30
http://statistics.gov.scot/id/statistical-geography/S02000946,"Stromness, Sandwick and Stenness",10
http://statistics.gov.scot/id/statistical-geography/S02001097,Strutherhill,0
http://statistics.gov.scot/id/statistical-geography/S02000020,Summerhill,10
http://statistics.gov.scot/id/statistical-geography/S02000713,Summerston Central and West,0
http://statistics.gov.scot/id/statistical-geography/S02000710,Summerston North,5
http://statistics.gov.scot/id/statistical-geography/S02000185,Summerville,10
