Generated by http://statistics.gov.scot,2020-07-25T09:15:09+00:00
http://statistics.gov.scot/data/dwellings-type,Dwellings by Type
measure type,Ratio
Reference Period,2017
Measure (cell values): ,Ratio(Percent Of Dwellings)

,,http://statistics.gov.scot/def/concept/type-of-dwelling/detached,http://statistics.gov.scot/def/concept/type-of-dwelling/flats,http://statistics.gov.scot/def/concept/type-of-dwelling/semi-detached,http://statistics.gov.scot/def/concept/type-of-dwelling/terraced,http://statistics.gov.scot/def/concept/type-of-dwelling/unknown
http://statistics.gov.scot/id/statistical-geography/S01001569,S01001569,28.3,5.9,26.4,39.4,0
http://statistics.gov.scot/id/statistical-geography/S01001570,S01001570,40.6,0,42.3,17.1,0
http://statistics.gov.scot/id/statistical-geography/S01001571,S01001571,0.3,37.8,9.1,52.7,0
http://statistics.gov.scot/id/statistical-geography/S01001572,S01001572,5.6,17.9,33.3,43.2,0
http://statistics.gov.scot/id/statistical-geography/S01001573,S01001573,37.9,2.5,31.8,27.1,0.6
http://statistics.gov.scot/id/statistical-geography/S01001574,S01001574,1.6,16,32.5,49.9,0
http://statistics.gov.scot/id/statistical-geography/S01001575,S01001575,1.8,68,9.9,20.3,0
http://statistics.gov.scot/id/statistical-geography/S01001576,S01001576,1.4,23,30.4,45.2,0
http://statistics.gov.scot/id/statistical-geography/S01001577,S01001577,2.7,8.1,11.1,78.2,0
http://statistics.gov.scot/id/statistical-geography/S01001578,S01001578,5.8,2.9,42.4,48.8,0
http://statistics.gov.scot/id/statistical-geography/S01001579,S01001579,3.8,29.1,26.9,40.2,0
http://statistics.gov.scot/id/statistical-geography/S01001580,S01001580,8.6,43.7,21.5,26.2,0
http://statistics.gov.scot/id/statistical-geography/S01001581,S01001581,18.4,12.8,36.9,31.9,0
http://statistics.gov.scot/id/statistical-geography/S01001582,S01001582,1.6,8.5,26.1,63.7,0
http://statistics.gov.scot/id/statistical-geography/S01001583,S01001583,22.2,9.5,28.6,39.7,0
http://statistics.gov.scot/id/statistical-geography/S01001584,S01001584,5,69.8,12.5,12.7,0
http://statistics.gov.scot/id/statistical-geography/S01001585,S01001585,1.8,91.2,1.8,5.1,0
http://statistics.gov.scot/id/statistical-geography/S01001586,S01001586,66.3,0.6,32,1.2,0
http://statistics.gov.scot/id/statistical-geography/S01001587,S01001587,0.7,34.7,16.6,48,0
http://statistics.gov.scot/id/statistical-geography/S01001588,S01001588,4.3,34.5,24.7,36.5,0
http://statistics.gov.scot/id/statistical-geography/S01001589,S01001589,1,26.4,6.2,66.4,0
http://statistics.gov.scot/id/statistical-geography/S01001590,S01001590,0.3,60,2.5,37.1,0
http://statistics.gov.scot/id/statistical-geography/S01001591,S01001591,2.7,34.2,52.7,9.9,0.3
http://statistics.gov.scot/id/statistical-geography/S01001592,S01001592,0.6,58,9.1,32.3,0
http://statistics.gov.scot/id/statistical-geography/S01001593,S01001593,1.3,56,14.9,27.2,0.5
http://statistics.gov.scot/id/statistical-geography/S01001594,S01001594,1.8,90,2.5,5.7,0
http://statistics.gov.scot/id/statistical-geography/S01001595,S01001595,3,87.8,7.2,2,0
http://statistics.gov.scot/id/statistical-geography/S01001596,S01001596,10.7,39.4,10.1,38.9,0.8
http://statistics.gov.scot/id/statistical-geography/S01001597,S01001597,2.5,79.9,2.5,13.5,1.5
http://statistics.gov.scot/id/statistical-geography/S01001598,S01001598,22.1,13.6,31.3,33,0
http://statistics.gov.scot/id/statistical-geography/S01001599,S01001599,1.3,88.1,1.3,9.2,0
http://statistics.gov.scot/id/statistical-geography/S01001600,S01001600,0.8,92.3,2.8,4,0
http://statistics.gov.scot/id/statistical-geography/S01001601,S01001601,50.5,1.7,22.6,24.4,0.8
http://statistics.gov.scot/id/statistical-geography/S01001602,S01001602,52.7,21,12.4,13.8,0
http://statistics.gov.scot/id/statistical-geography/S01001603,S01001603,26.4,40.6,13.8,19.1,0
http://statistics.gov.scot/id/statistical-geography/S01001604,S01001604,2.6,12.8,28.5,56.2,0
http://statistics.gov.scot/id/statistical-geography/S01001605,S01001605,18,4.1,30.9,47.1,0
http://statistics.gov.scot/id/statistical-geography/S01001606,S01001606,2.9,65.3,16.2,15.6,0
http://statistics.gov.scot/id/statistical-geography/S01001607,S01001607,40.8,20.2,13.5,25.4,0.1
http://statistics.gov.scot/id/statistical-geography/S01001608,S01001608,19,24.2,36,20.7,0
http://statistics.gov.scot/id/statistical-geography/S01001609,S01001609,0,0,8.2,91.8,0
http://statistics.gov.scot/id/statistical-geography/S01001610,S01001610,14.2,42.1,18.4,25.3,0
http://statistics.gov.scot/id/statistical-geography/S01001611,S01001611,58.4,9.5,14.4,17.4,0.3
http://statistics.gov.scot/id/statistical-geography/S01001612,S01001612,44.4,14.7,37.5,3.5,0
http://statistics.gov.scot/id/statistical-geography/S01001613,S01001613,0,0,22.3,77.7,0
http://statistics.gov.scot/id/statistical-geography/S01001614,S01001614,6.2,61.3,7.5,25,0
http://statistics.gov.scot/id/statistical-geography/S01001615,S01001615,5.5,30.6,18.6,45.4,0
http://statistics.gov.scot/id/statistical-geography/S01001616,S01001616,60.7,0,28.8,10.5,0
http://statistics.gov.scot/id/statistical-geography/S01001617,S01001617,2.2,14.5,23.3,59.9,0
http://statistics.gov.scot/id/statistical-geography/S01001618,S01001618,34.5,20,17.9,27.2,0.4
http://statistics.gov.scot/id/statistical-geography/S01001619,S01001619,4.3,10,21.3,64.5,0
http://statistics.gov.scot/id/statistical-geography/S01001620,S01001620,4.6,18.5,46.4,30.4,0
http://statistics.gov.scot/id/statistical-geography/S01001621,S01001621,0,0,64.3,35.7,0
http://statistics.gov.scot/id/statistical-geography/S01001622,S01001622,3.2,51.6,7.1,38.1,0
http://statistics.gov.scot/id/statistical-geography/S01001623,S01001623,2.4,15.5,53.8,28.3,0
http://statistics.gov.scot/id/statistical-geography/S01001624,S01001624,6.1,19.3,39.9,34.8,0
http://statistics.gov.scot/id/statistical-geography/S01001625,S01001625,2.1,39.2,17.2,41.5,0
http://statistics.gov.scot/id/statistical-geography/S01001626,S01001626,14.3,10.9,27.6,47.2,0
http://statistics.gov.scot/id/statistical-geography/S01001627,S01001627,13.2,31.8,39.3,15.7,0
http://statistics.gov.scot/id/statistical-geography/S01001628,S01001628,0,3.2,23.6,73.2,0
http://statistics.gov.scot/id/statistical-geography/S01001629,S01001629,12.9,27.7,34.8,24.5,0
http://statistics.gov.scot/id/statistical-geography/S01001630,S01001630,3.3,82.1,7.4,7.1,0
http://statistics.gov.scot/id/statistical-geography/S01001631,S01001631,22.1,28.5,10,39.4,0
http://statistics.gov.scot/id/statistical-geography/S01001632,S01001632,41,1.4,26.4,31.1,0
http://statistics.gov.scot/id/statistical-geography/S01001633,S01001633,66.2,1.9,28.3,3.5,0
http://statistics.gov.scot/id/statistical-geography/S01001634,S01001634,44.4,0,22.5,33.2,0
http://statistics.gov.scot/id/statistical-geography/S01001635,S01001635,11.8,15.1,18.4,54.7,0
http://statistics.gov.scot/id/statistical-geography/S01001636,S01001636,20.8,0,60.9,18.4,0
http://statistics.gov.scot/id/statistical-geography/S01001637,S01001637,39.2,16.3,24.4,18.4,1.8
http://statistics.gov.scot/id/statistical-geography/S01001638,S01001638,6.7,48.9,14.8,29.6,0
http://statistics.gov.scot/id/statistical-geography/S01001639,S01001639,19.5,25.7,10.8,43.9,0
http://statistics.gov.scot/id/statistical-geography/S01001640,S01001640,74.5,0,13.7,11.8,0
http://statistics.gov.scot/id/statistical-geography/S01001641,S01001641,45.3,7.4,26.1,21.1,0.1
http://statistics.gov.scot/id/statistical-geography/S01001642,S01001642,25.8,1.4,50.2,22.6,0
http://statistics.gov.scot/id/statistical-geography/S01001643,S01001643,22.8,19.5,35.7,21.9,0
http://statistics.gov.scot/id/statistical-geography/S01001644,S01001644,40.5,12.3,43.2,4,0
http://statistics.gov.scot/id/statistical-geography/S01001645,S01001645,12.2,56.8,8.6,22.2,0.2
http://statistics.gov.scot/id/statistical-geography/S01001646,S01001646,38.6,0.7,38.6,22.1,0
http://statistics.gov.scot/id/statistical-geography/S01001647,S01001647,49.9,29.9,20.2,0,0
http://statistics.gov.scot/id/statistical-geography/S01001648,S01001648,13.9,16.8,32.6,36.8,0
http://statistics.gov.scot/id/statistical-geography/S01001649,S01001649,5.6,53,34.6,6.6,0.3
http://statistics.gov.scot/id/statistical-geography/S01001650,S01001650,28.1,25.3,13.9,31.8,0.9
http://statistics.gov.scot/id/statistical-geography/S01001651,S01001651,13.3,53,25.6,8.1,0
http://statistics.gov.scot/id/statistical-geography/S01001652,S01001652,56.6,4.5,13.2,25.2,0.6
http://statistics.gov.scot/id/statistical-geography/S01001653,S01001653,0.8,67.2,4.5,27.4,0
http://statistics.gov.scot/id/statistical-geography/S01001654,S01001654,41.9,2.1,24.3,31.4,0.3
http://statistics.gov.scot/id/statistical-geography/S01001655,S01001655,28,12.8,25.6,33.6,0
http://statistics.gov.scot/id/statistical-geography/S01001656,S01001656,17.3,28.9,31.4,22.4,0
http://statistics.gov.scot/id/statistical-geography/S01001657,S01001657,40.9,3.5,18.9,36.6,0
http://statistics.gov.scot/id/statistical-geography/S01001658,S01001658,55.1,14.7,15.1,15,0
http://statistics.gov.scot/id/statistical-geography/S01001659,S01001659,48.4,14.2,21.5,15.9,0
http://statistics.gov.scot/id/statistical-geography/S01001660,S01001660,49.4,13,26.3,11.3,0
http://statistics.gov.scot/id/statistical-geography/S01001661,S01001661,43.3,2.9,38.1,15.7,0
http://statistics.gov.scot/id/statistical-geography/S01001662,S01001662,5.5,24.5,24.2,45.7,0
http://statistics.gov.scot/id/statistical-geography/S01001663,S01001663,49.9,17,12.5,20.6,0
http://statistics.gov.scot/id/statistical-geography/S01001664,S01001664,63,19.4,5.1,12.5,0
http://statistics.gov.scot/id/statistical-geography/S01001665,S01001665,55.4,31.5,4.6,8.5,0
http://statistics.gov.scot/id/statistical-geography/S01001666,S01001666,14.8,55.9,17.2,12.1,0
http://statistics.gov.scot/id/statistical-geography/S01001667,S01001667,24.4,54.1,13.2,8.3,0
http://statistics.gov.scot/id/statistical-geography/S01001668,S01001668,29.4,56.6,8.8,5,0.2
http://statistics.gov.scot/id/statistical-geography/S01001669,S01001669,3.2,81.5,3.4,11.9,0
http://statistics.gov.scot/id/statistical-geography/S01001670,S01001670,28.5,17.7,49.2,4.6,0
http://statistics.gov.scot/id/statistical-geography/S01001671,S01001671,24,0.5,63.7,11.3,0.5
http://statistics.gov.scot/id/statistical-geography/S01001672,S01001672,6.1,26.4,33.9,33.6,0
http://statistics.gov.scot/id/statistical-geography/S01001673,S01001673,28.2,11.5,14.5,45.8,0
http://statistics.gov.scot/id/statistical-geography/S01001674,S01001674,12.4,18.4,32,37.2,0
http://statistics.gov.scot/id/statistical-geography/S01001675,S01001675,35.5,27,14.2,23.3,0
http://statistics.gov.scot/id/statistical-geography/S01001676,S01001676,56.1,19.8,13.2,10.7,0.2
http://statistics.gov.scot/id/statistical-geography/S01001677,S01001677,54,10.9,16.9,18.2,0
http://statistics.gov.scot/id/statistical-geography/S01001678,S01001678,28.1,4.9,49.2,17.7,0
http://statistics.gov.scot/id/statistical-geography/S01001679,S01001679,68.8,29.9,0,1.3,0
http://statistics.gov.scot/id/statistical-geography/S01001680,S01001680,82.8,10.9,5,0,1.3
http://statistics.gov.scot/id/statistical-geography/S01001681,S01001681,92,0.8,6.4,0,0.8
http://statistics.gov.scot/id/statistical-geography/S01001682,S01001682,29.3,14.2,42.7,13.8,0
http://statistics.gov.scot/id/statistical-geography/S01001683,S01001683,43.5,41.3,15.1,0,0
http://statistics.gov.scot/id/statistical-geography/S01001684,S01001684,60.2,0.3,30.8,8,0.7
http://statistics.gov.scot/id/statistical-geography/S01001685,S01001685,20,43.2,25.2,11.6,0
http://statistics.gov.scot/id/statistical-geography/S01001686,S01001686,60.7,14.1,11.1,11.9,2.2
http://statistics.gov.scot/id/statistical-geography/S01001687,S01001687,34.2,55.7,10.1,0,0
http://statistics.gov.scot/id/statistical-geography/S01001688,S01001688,23.6,17.3,49.3,9.8,0
http://statistics.gov.scot/id/statistical-geography/S01001689,S01001689,79.9,5.4,12.9,1.7,0
http://statistics.gov.scot/id/statistical-geography/S01001690,S01001690,34.9,20.1,7.8,37.2,0
http://statistics.gov.scot/id/statistical-geography/S01001691,S01001691,75.3,6.8,17.9,0,0
http://statistics.gov.scot/id/statistical-geography/S01001692,S01001692,22.8,36.5,11.9,28.8,0
http://statistics.gov.scot/id/statistical-geography/S01001693,S01001693,72.8,0,27.2,0,0
http://statistics.gov.scot/id/statistical-geography/S01001694,S01001694,12.8,41.5,26.8,18.5,0.3
http://statistics.gov.scot/id/statistical-geography/S01001695,S01001695,41.7,25.8,20.2,12.3,0
http://statistics.gov.scot/id/statistical-geography/S01001696,S01001696,45.4,1.9,15.6,37.1,0
http://statistics.gov.scot/id/statistical-geography/S01001697,S01001697,23.1,18.1,43,15.9,0
http://statistics.gov.scot/id/statistical-geography/S01001698,S01001698,13.9,8.3,27.8,49.5,0.5
http://statistics.gov.scot/id/statistical-geography/S01001699,S01001699,100,0,0,0,0
http://statistics.gov.scot/id/statistical-geography/S01001700,S01001700,80.1,1.4,18.5,0,0
http://statistics.gov.scot/id/statistical-geography/S01001701,S01001701,7.9,30.9,30,30.7,0.5
http://statistics.gov.scot/id/statistical-geography/S01001702,S01001702,44.4,28.4,20.2,7,0
http://statistics.gov.scot/id/statistical-geography/S01001703,S01001703,47.7,10.3,24.2,17.7,0
http://statistics.gov.scot/id/statistical-geography/S01001704,S01001704,77.5,17.8,1.6,3.1,0
http://statistics.gov.scot/id/statistical-geography/S01001705,S01001705,44.1,0,42.3,13.6,0
http://statistics.gov.scot/id/statistical-geography/S01001706,S01001706,53.4,0,42.2,4.3,0
http://statistics.gov.scot/id/statistical-geography/S01001707,S01001707,7.7,53.2,15.7,22.9,0.5
http://statistics.gov.scot/id/statistical-geography/S01001708,S01001708,60.4,32.6,2.6,4.4,0
http://statistics.gov.scot/id/statistical-geography/S01001709,S01001709,31,19,17.8,32.2,0
http://statistics.gov.scot/id/statistical-geography/S01001710,S01001710,21.5,50.8,10,17.4,0.3
http://statistics.gov.scot/id/statistical-geography/S01001711,S01001711,16.8,0,42.9,40.4,0
http://statistics.gov.scot/id/statistical-geography/S01001712,S01001712,8.1,0,48.9,43,0
http://statistics.gov.scot/id/statistical-geography/S01001713,S01001713,47.2,0,52.8,0,0
http://statistics.gov.scot/id/statistical-geography/S01001714,S01001714,28.7,15.8,52.1,3.4,0
http://statistics.gov.scot/id/statistical-geography/S01001715,S01001715,66.4,0,33.6,0,0
http://statistics.gov.scot/id/statistical-geography/S01001716,S01001716,11.2,46.9,33.2,8.7,0
http://statistics.gov.scot/id/statistical-geography/S01001717,S01001717,51.4,0,13.3,35.4,0
http://statistics.gov.scot/id/statistical-geography/S01001718,S01001718,24.4,20.5,38.6,16.5,0
http://statistics.gov.scot/id/statistical-geography/S01001719,S01001719,29.2,0,67.8,3,0
http://statistics.gov.scot/id/statistical-geography/S01001720,S01001720,47.6,25.6,15.9,10.9,0
http://statistics.gov.scot/id/statistical-geography/S01001721,S01001721,17.9,52.3,29.8,0,0
http://statistics.gov.scot/id/statistical-geography/S01001722,S01001722,6,21.1,41.2,31.7,0
http://statistics.gov.scot/id/statistical-geography/S01001723,S01001723,56.3,35.4,8.4,0,0
http://statistics.gov.scot/id/statistical-geography/S01001724,S01001724,8.5,59.2,22.4,9.6,0.3
http://statistics.gov.scot/id/statistical-geography/S01001725,S01001725,31.1,22.2,28,18.7,0
http://statistics.gov.scot/id/statistical-geography/S01001726,S01001726,25.5,0,74,0.4,0
http://statistics.gov.scot/id/statistical-geography/S01001727,S01001727,20.1,27.7,40.7,11.6,0
http://statistics.gov.scot/id/statistical-geography/S01001728,S01001728,0.9,0,96,3.1,0
http://statistics.gov.scot/id/statistical-geography/S01001729,S01001729,27.1,2.6,18.8,51.5,0
http://statistics.gov.scot/id/statistical-geography/S01001730,S01001730,5,10.3,61.3,23.4,0
http://statistics.gov.scot/id/statistical-geography/S01001731,S01001731,76.1,0,22.1,1.8,0
http://statistics.gov.scot/id/statistical-geography/S01001732,S01001732,52.3,8.5,35.7,2.8,0.7
http://statistics.gov.scot/id/statistical-geography/S01001733,S01001733,33.2,8.4,18.8,39.3,0.3
http://statistics.gov.scot/id/statistical-geography/S01001734,S01001734,85.2,0,14.8,0,0
http://statistics.gov.scot/id/statistical-geography/S01001735,S01001735,22.3,7.3,49.2,21.2,0
http://statistics.gov.scot/id/statistical-geography/S01001736,S01001736,49.6,25.9,24.5,0,0
http://statistics.gov.scot/id/statistical-geography/S01001737,S01001737,0,0,25.2,74.8,0
http://statistics.gov.scot/id/statistical-geography/S01001738,S01001738,72.5,0.5,27,0,0
http://statistics.gov.scot/id/statistical-geography/S01001739,S01001739,0.4,0,12.6,87,0
http://statistics.gov.scot/id/statistical-geography/S01001740,S01001740,20.2,21.8,18.9,28.7,10.4
http://statistics.gov.scot/id/statistical-geography/S01001741,S01001741,4,16.8,57.6,21.6,0
http://statistics.gov.scot/id/statistical-geography/S01001742,S01001742,0,13.4,47.8,38.5,0.3
http://statistics.gov.scot/id/statistical-geography/S01001743,S01001743,1.3,39.1,25.9,33.6,0
http://statistics.gov.scot/id/statistical-geography/S01001744,S01001744,44.8,0,51.5,3.6,0
http://statistics.gov.scot/id/statistical-geography/S01001745,S01001745,1.6,7.4,33.7,57.4,0
http://statistics.gov.scot/id/statistical-geography/S01001746,S01001746,38.4,15.7,24.6,21.3,0
http://statistics.gov.scot/id/statistical-geography/S01001747,S01001747,2.1,9.5,46.2,42.2,0
http://statistics.gov.scot/id/statistical-geography/S01001748,S01001748,53.2,0,46.8,0,0
http://statistics.gov.scot/id/statistical-geography/S01001749,S01001749,10.4,63.7,20.6,5.2,0
http://statistics.gov.scot/id/statistical-geography/S01001750,S01001750,29.9,21.2,42.8,6.1,0
http://statistics.gov.scot/id/statistical-geography/S01001751,S01001751,5.4,49.5,25.7,19.1,0.2
http://statistics.gov.scot/id/statistical-geography/S01001752,S01001752,40.2,0.6,44.6,14.7,0
http://statistics.gov.scot/id/statistical-geography/S01001753,S01001753,0,42,24.8,33.2,0
http://statistics.gov.scot/id/statistical-geography/S01001754,S01001754,30.9,11.9,45.7,11.5,0
http://statistics.gov.scot/id/statistical-geography/S01001755,S01001755,31,20.5,21.8,26.7,0
http://statistics.gov.scot/id/statistical-geography/S01001756,S01001756,21.6,40.4,11.6,26,0.3
http://statistics.gov.scot/id/statistical-geography/S01001757,S01001757,37.5,38.3,16.5,7.1,0.6
http://statistics.gov.scot/id/statistical-geography/S01001758,S01001758,17.2,49.3,8.5,25.1,0
http://statistics.gov.scot/id/statistical-geography/S01001759,S01001759,0.2,90.5,2.7,6.1,0.5
http://statistics.gov.scot/id/statistical-geography/S01001760,S01001760,14.2,40.3,29.3,14.2,2
http://statistics.gov.scot/id/statistical-geography/S01001761,S01001761,10.7,74.3,8,6.4,0.5
http://statistics.gov.scot/id/statistical-geography/S01001762,S01001762,9.8,52.4,28.3,9.6,0
http://statistics.gov.scot/id/statistical-geography/S01001763,S01001763,23.8,0.4,11.9,63.9,0
http://statistics.gov.scot/id/statistical-geography/S01001764,S01001764,11.7,5.3,48.4,34.6,0
http://statistics.gov.scot/id/statistical-geography/S01001765,S01001765,12.6,47.4,28.8,11.3,0
http://statistics.gov.scot/id/statistical-geography/S01001766,S01001766,16,19.8,55.1,9.1,0
http://statistics.gov.scot/id/statistical-geography/S01001767,S01001767,20.7,16.9,44.3,18.1,0
http://statistics.gov.scot/id/statistical-geography/S01001768,S01001768,4.5,23.4,58.2,13.9,0
http://statistics.gov.scot/id/statistical-geography/S01001769,S01001769,8.1,49.5,42.3,0,0
http://statistics.gov.scot/id/statistical-geography/S01001770,S01001770,0.3,84.6,3.1,11.9,0
http://statistics.gov.scot/id/statistical-geography/S01001771,S01001771,0.3,32.8,61.4,5.6,0
http://statistics.gov.scot/id/statistical-geography/S01001772,S01001772,15.1,56.4,25.2,3.3,0
http://statistics.gov.scot/id/statistical-geography/S01001773,S01001773,0.7,55.5,32.5,11.3,0
http://statistics.gov.scot/id/statistical-geography/S01001774,S01001774,1.5,7.4,73.4,14.8,3
http://statistics.gov.scot/id/statistical-geography/S01001775,S01001775,2.7,43.2,5.9,48.1,0
http://statistics.gov.scot/id/statistical-geography/S01001776,S01001776,19.7,65.5,7.5,7.2,0
http://statistics.gov.scot/id/statistical-geography/S01001777,S01001777,3.8,15.7,21.7,58.8,0
http://statistics.gov.scot/id/statistical-geography/S01001778,S01001778,7.1,57.9,9.2,25.8,0
http://statistics.gov.scot/id/statistical-geography/S01001779,S01001779,18.6,42.2,19,20.2,0
http://statistics.gov.scot/id/statistical-geography/S01001780,S01001780,2.5,41.8,40,15.8,0
http://statistics.gov.scot/id/statistical-geography/S01001781,S01001781,9,9.4,81.6,0,0
http://statistics.gov.scot/id/statistical-geography/S01001782,S01001782,8.5,20.2,63.1,8.2,0
http://statistics.gov.scot/id/statistical-geography/S01001783,S01001783,1.1,48,38,12.5,0.4
http://statistics.gov.scot/id/statistical-geography/S01001784,S01001784,8.7,41.3,27.3,22.7,0
http://statistics.gov.scot/id/statistical-geography/S01001785,S01001785,6,3.4,86,4.3,0.4
http://statistics.gov.scot/id/statistical-geography/S01001786,S01001786,34.9,13.4,29.2,22.5,0
http://statistics.gov.scot/id/statistical-geography/S01001787,S01001787,62.2,0,37.8,0,0
http://statistics.gov.scot/id/statistical-geography/S01001788,S01001788,20.6,5.6,62.1,11.8,0
http://statistics.gov.scot/id/statistical-geography/S01001789,S01001789,9.9,46.1,40,3.5,0.6
http://statistics.gov.scot/id/statistical-geography/S01001790,S01001790,23.9,40.3,33.6,2.2,0
http://statistics.gov.scot/id/statistical-geography/S01001791,S01001791,44.7,23,29.1,3.2,0
http://statistics.gov.scot/id/statistical-geography/S01001792,S01001792,12,13.1,36.8,38.1,0
http://statistics.gov.scot/id/statistical-geography/S01001793,S01001793,33.6,43.1,11.8,11.5,0
http://statistics.gov.scot/id/statistical-geography/S01001794,S01001794,41.3,8.4,15.3,35,0
http://statistics.gov.scot/id/statistical-geography/S01001795,S01001795,40.1,29,13.9,16.7,0.3
http://statistics.gov.scot/id/statistical-geography/S01001796,S01001796,96.9,0,1.9,1.2,0
http://statistics.gov.scot/id/statistical-geography/S01001797,S01001797,13.6,27.1,32.5,26.8,0
http://statistics.gov.scot/id/statistical-geography/S01001798,S01001798,76.5,0.9,21.4,1.2,0
http://statistics.gov.scot/id/statistical-geography/S01001799,S01001799,2.8,23,66.1,8.1,0
http://statistics.gov.scot/id/statistical-geography/S01001800,S01001800,19.8,0,62.8,17.5,0
http://statistics.gov.scot/id/statistical-geography/S01001801,S01001801,81.7,3.1,6.7,8.5,0
http://statistics.gov.scot/id/statistical-geography/S01001802,S01001802,22.2,19.1,34.3,24.4,0
http://statistics.gov.scot/id/statistical-geography/S01001803,S01001803,35.4,2.3,39.3,23,0
http://statistics.gov.scot/id/statistical-geography/S01001804,S01001804,36.3,21,26.4,16.2,0
http://statistics.gov.scot/id/statistical-geography/S01001805,S01001805,9.3,0,34.3,56.4,0
http://statistics.gov.scot/id/statistical-geography/S01001806,S01001806,33.9,23.7,26.3,16.1,0
http://statistics.gov.scot/id/statistical-geography/S01001807,S01001807,32.5,9.1,44.3,14,0
http://statistics.gov.scot/id/statistical-geography/S01001808,S01001808,26.5,16.7,45.2,11.6,0
http://statistics.gov.scot/id/statistical-geography/S01001809,S01001809,2.7,71.6,7.2,18.5,0
http://statistics.gov.scot/id/statistical-geography/S01001810,S01001810,39.3,12.6,24.9,23.3,0
http://statistics.gov.scot/id/statistical-geography/S01001811,S01001811,71.6,0,28.4,0,0
http://statistics.gov.scot/id/statistical-geography/S01001812,S01001812,77,12.4,4.5,6.1,0
http://statistics.gov.scot/id/statistical-geography/S01001813,S01001813,74,0,26,0,0
http://statistics.gov.scot/id/statistical-geography/S01001814,S01001814,34.6,6.5,30.1,28.8,0
http://statistics.gov.scot/id/statistical-geography/S01001815,S01001815,34.6,11.5,53.2,0.6,0
http://statistics.gov.scot/id/statistical-geography/S01001816,S01001816,57,9.9,16.4,16.8,0
http://statistics.gov.scot/id/statistical-geography/S01001817,S01001817,3,23.3,45.3,28.3,0
http://statistics.gov.scot/id/statistical-geography/S01001818,S01001818,79.4,6.9,13.8,0,0
http://statistics.gov.scot/id/statistical-geography/S01001819,S01001819,64.6,12.6,13.3,9.5,0
http://statistics.gov.scot/id/statistical-geography/S01001820,S01001820,0,48,8.3,43.7,0
http://statistics.gov.scot/id/statistical-geography/S01001821,S01001821,5,0.5,56.3,38.2,0
http://statistics.gov.scot/id/statistical-geography/S01001822,S01001822,11.9,35,16.6,36.3,0.2
http://statistics.gov.scot/id/statistical-geography/S01001823,S01001823,4.9,51.5,12.3,31.3,0
http://statistics.gov.scot/id/statistical-geography/S01001824,S01001824,20.6,20,14.3,45.1,0
http://statistics.gov.scot/id/statistical-geography/S01001825,S01001825,33.3,15.5,24.3,26.8,0
http://statistics.gov.scot/id/statistical-geography/S01001826,S01001826,1,71.8,11.6,15.6,0
http://statistics.gov.scot/id/statistical-geography/S01001827,S01001827,8.9,66.9,13,11.2,0
http://statistics.gov.scot/id/statistical-geography/S01001828,S01001828,42.2,4.6,33.5,19.8,0
http://statistics.gov.scot/id/statistical-geography/S01001829,S01001829,18.9,51.5,11.5,18.1,0
http://statistics.gov.scot/id/statistical-geography/S01001830,S01001830,49.4,15.9,17.6,17.2,0
http://statistics.gov.scot/id/statistical-geography/S01001831,S01001831,4,43.1,19.3,33.7,0
http://statistics.gov.scot/id/statistical-geography/S01001832,S01001832,0,22.7,28.3,49,0
http://statistics.gov.scot/id/statistical-geography/S01001833,S01001833,31.1,33.6,21.2,14.2,0
http://statistics.gov.scot/id/statistical-geography/S01001834,S01001834,0.3,24.6,0.3,74.7,0
http://statistics.gov.scot/id/statistical-geography/S01001835,S01001835,31,21,26.9,21,0
http://statistics.gov.scot/id/statistical-geography/S01001836,S01001836,25.9,38.1,26.4,9.6,0
http://statistics.gov.scot/id/statistical-geography/S01001837,S01001837,49.1,30.1,13.9,6.9,0
http://statistics.gov.scot/id/statistical-geography/S01001838,S01001838,2.1,9.2,17,71.7,0
http://statistics.gov.scot/id/statistical-geography/S01001839,S01001839,0.9,50.5,7.7,40.9,0
http://statistics.gov.scot/id/statistical-geography/S01001840,S01001840,42.2,10.6,37.8,3.4,5.9
http://statistics.gov.scot/id/statistical-geography/S01001841,S01001841,0,100,0,0,0
http://statistics.gov.scot/id/statistical-geography/S01001842,S01001842,35.8,15.5,21.6,27,0
http://statistics.gov.scot/id/statistical-geography/S01001843,S01001843,0,95.3,1,3.7,0
http://statistics.gov.scot/id/statistical-geography/S01001844,S01001844,21.5,0.2,50.4,26.6,1.3
http://statistics.gov.scot/id/statistical-geography/S01001845,S01001845,53.3,2.2,32,12.5,0
http://statistics.gov.scot/id/statistical-geography/S01001846,S01001846,34,1.8,42.9,21.3,0
http://statistics.gov.scot/id/statistical-geography/S01001847,S01001847,7.4,40.5,13.3,38.8,0
http://statistics.gov.scot/id/statistical-geography/S01001848,S01001848,0.2,81.3,10.6,7.9,0
http://statistics.gov.scot/id/statistical-geography/S01001849,S01001849,70.8,15.8,10.7,2.8,0
http://statistics.gov.scot/id/statistical-geography/S01001850,S01001850,0,100,0,0,0
http://statistics.gov.scot/id/statistical-geography/S01001851,S01001851,48.6,13.9,36.5,0.9,0
http://statistics.gov.scot/id/statistical-geography/S01001852,S01001852,35.8,0,59.6,4.6,0
http://statistics.gov.scot/id/statistical-geography/S01001853,S01001853,51.4,4,37.5,7.1,0
